"produto","cidade_produto","pais_produto","data_inteira"
"Valkoinen suklaa","Cork","Ireland","1997-01-29"
"Vegie-spread","Cork","Ireland","1997-01-29"
"Alice Mutton","Graz","Austria","1997-01-30"
"Alice Mutton","Tsawassen","Canada","1997-01-30"
"Boston Crab Meat","Tsawassen","Canada","1997-01-30"
"Gnocchi di nonna Alice","Graz","Austria","1997-01-30"
"Raclette Courdavault","Graz","Austria","1997-01-30"
"Sir Rodney's Scones","Graz","Austria","1997-01-30"
"Zaanse koeken","Tsawassen","Canada","1997-01-30"
"Gumbär Gummibärchen","Lander","USA","1997-01-31"
"Tourtière","Lander","USA","1997-01-31"
"Gnocchi di nonna Alice","Lisboa","Portugal","1997-02-03"
"Lakkalikööri","Bräcke","Sweden","1997-02-03"
"Queso Cabrales","Bräcke","Sweden","1997-02-03"
"Chang","London","UK","1997-02-04"
"Gustaf's Knäckebröd","London","UK","1997-02-04"
"Mozzarella di Giovanni","London","UK","1997-02-04"
"Gnocchi di nonna Alice","Strasbourg","France","1997-02-05"
"Perth Pasties","Oulu","Finland","1997-02-05"
"Rhönbräu Klosterbier","Strasbourg","France","1997-02-05"
"Spegesild","Strasbourg","France","1997-02-05"
"Wimmers gute Semmelknödel","Strasbourg","France","1997-02-05"
"Ravioli Angelo","Münster","Germany","1997-02-06"
"Sasquatch Ale","Münster","Germany","1997-02-06"
"Teatime Chocolate Biscuits","Münster","Germany","1997-02-06"
"Longlife Tofu","Montréal","Canada","1997-02-07"
"Pavlova","Montréal","Canada","1997-02-07"
"Queso Manchego La Pastora","Montréal","Canada","1997-02-07"
"Wimmers gute Semmelknödel","Montréal","Canada","1997-02-07"
"Chang","Boise","USA","1997-02-10"
"Pavlova","Boise","USA","1997-02-10"
"Schoggi Schokolade","Anchorage","USA","1997-02-10"
"Sirop d'érable","Boise","USA","1997-02-10"
"Thüringer Rostbratwurst","Boise","USA","1997-02-10"
"Louisiana Hot Spiced Okra","Graz","Austria","1997-02-11"
"Queso Cabrales","Graz","Austria","1997-02-11"
"Tourtière","Graz","Austria","1997-02-11"
"Alice Mutton","Luleå","Sweden","1997-02-12"
"Gumbär Gummibärchen","Luleå","Sweden","1997-02-12"
"Jack's New England Clam Chowder","Luleå","Sweden","1997-02-12"
"Queso Cabrales","Reggio Emilia","Italy","1997-02-12"
"Rössle Sauerkraut","Reggio Emilia","Italy","1997-02-12"
"Steeleye Stout","Luleå","Sweden","1997-02-12"
"Chartreuse verte","Luleå","Sweden","1997-02-13"
"Tourtière","Luleå","Sweden","1997-02-13"
"Filo Mix","Münster","Germany","1997-02-14"
"Flotemysost","Rio de Janeiro","Brazil","1997-02-14"
"Gorgonzola Telino","Münster","Germany","1997-02-14"
"Guaraná Fantástica","Münster","Germany","1997-02-14"
"Louisiana Fiery Hot Pepper Sauce","Rio de Janeiro","Brazil","1997-02-14"
"Teatime Chocolate Biscuits","Münster","Germany","1997-02-14"
"Teatime Chocolate Biscuits","Rio de Janeiro","Brazil","1997-02-14"
"Boston Crab Meat","Buenos Aires","Argentina","1997-02-17"
"Gumbär Gummibärchen","Buenos Aires","Argentina","1997-02-17"
"Filo Mix","Strasbourg","France","1997-02-18"
"Ikura","Strasbourg","France","1997-02-18"
"Tarte au sucre","Strasbourg","France","1997-02-18"
"Ikura","Lyon","France","1997-02-19"
"Louisiana Fiery Hot Pepper Sauce","Cunewalde","Germany","1997-02-19"
"Original Frankfurter grüne Soße","Cunewalde","Germany","1997-02-19"
"Pâté chinois","Cunewalde","Germany","1997-02-19"
"Tourtière","Lyon","France","1997-02-19"
"Wimmers gute Semmelknödel","Cunewalde","Germany","1997-02-19"
"Gula Malacca","Boise","USA","1997-02-20"
"Rössle Sauerkraut","Boise","USA","1997-02-20"
"Chocolade","Colchester","UK","1997-02-21"
"Geitost","Toulouse","France","1997-02-21"
"Outback Lager","Colchester","UK","1997-02-21"
"Pavlova","Toulouse","France","1997-02-21"
"Spegesild","Toulouse","France","1997-02-21"
"Chartreuse verte","Oulu","Finland","1997-02-24"
"Flotemysost","Oulu","Finland","1997-02-24"
"Perth Pasties","Oulu","Finland","1997-02-24"
"Sirop d'érable","Oulu","Finland","1997-02-24"
"Maxilaku","Brandenburg","Germany","1997-02-25"
"Raclette Courdavault","Brandenburg","Germany","1997-02-25"
"Sir Rodney's Scones","Brandenburg","Germany","1997-02-25"
"Flotemysost","Charleroi","Belgium","1997-02-26"
"Gnocchi di nonna Alice","Charleroi","Belgium","1997-02-26"
"Gumbär Gummibärchen","Charleroi","Belgium","1997-02-26"
"Ipoh Coffee","Charleroi","Belgium","1997-02-26"
"Rössle Sauerkraut","Charleroi","Belgium","1997-02-26"
"Mozzarella di Giovanni","Lyon","France","1997-02-27"
"Spegesild","Lyon","France","1997-02-27"
"Uncle Bob's Organic Dried Pears","Lyon","France","1997-02-27"
"Nord-Ost Matjeshering","Barquisimeto","Venezuela","1997-02-28"
"Pâté chinois","Barquisimeto","Venezuela","1997-02-28"
"Rhönbräu Klosterbier","Bräcke","Sweden","1997-02-28"
"Scottish Longbreads","Bräcke","Sweden","1997-02-28"
"Sir Rodney's Scones","Barquisimeto","Venezuela","1997-02-28"
"Konbu","London","UK","1997-03-03"
"Tunnbröd","London","UK","1997-03-03"
"Camembert Pierrot","Lisboa","Portugal","1997-03-04"
"Chef Anton's Cajun Seasoning","Lisboa","Portugal","1997-03-04"
"Gnocchi di nonna Alice","Lisboa","Portugal","1997-03-04"
"Ipoh Coffee","Lisboa","Portugal","1997-03-04"
"Singaporean Hokkien Fried Mee","Charleroi","Belgium","1997-03-04"
"Teatime Chocolate Biscuits","Charleroi","Belgium","1997-03-04"
"Boston Crab Meat","Århus","Denmark","1997-03-05"
"Guaraná Fantástica","Århus","Denmark","1997-03-05"
"Rogede sild","Århus","Denmark","1997-03-05"
"Thüringer Rostbratwurst","Århus","Denmark","1997-03-05"
"Valkoinen suklaa","Århus","Denmark","1997-03-05"
"Guaraná Fantástica","Bergamo","Italy","1997-03-06"
"NuNuCa Nuß-Nougat-Creme","Bergamo","Italy","1997-03-06"
"Queso Cabrales","Sao Paulo","Brazil","1997-03-06"
"Spegesild","Sao Paulo","Brazil","1997-03-06"
"Ipoh Coffee","Brandenburg","Germany","1997-03-07"
"Nord-Ost Matjeshering","Brandenburg","Germany","1997-03-07"
"Chang","Seattle","USA","1997-03-10"
"Gula Malacca","Seattle","USA","1997-03-10"
"Pavlova","Seattle","USA","1997-03-10"
"Carnarvon Tigers","Marseille","France","1997-03-11"
"Gnocchi di nonna Alice","London","UK","1997-03-11"
"Tunnbröd","Marseille","France","1997-03-11"
"Uncle Bob's Organic Dried Pears","London","UK","1997-03-11"
"Wimmers gute Semmelknödel","Marseille","France","1997-03-11"
"Guaraná Fantástica","London","UK","1997-03-12"
"Manjimup Dried Apples","London","UK","1997-03-12"
"Boston Crab Meat","México D.F.","Mexico","1997-03-13"
"Flotemysost","Cowes","UK","1997-03-13"
"Geitost","Cowes","UK","1997-03-13"
"Rhönbräu Klosterbier","México D.F.","Mexico","1997-03-13"
"Rössle Sauerkraut","México D.F.","Mexico","1997-03-13"
"Tofu","México D.F.","Mexico","1997-03-13"
"Gorgonzola Telino","Charleroi","Belgium","1997-03-14"
"Lakkalikööri","Charleroi","Belgium","1997-03-14"
"Louisiana Hot Spiced Okra","Charleroi","Belgium","1997-03-14"
"Chai","Lisboa","Portugal","1997-03-17"
"Chartreuse verte","Lisboa","Portugal","1997-03-17"
"Outback Lager","San Cristóbal","Venezuela","1997-03-17"
"Pâté chinois","San Cristóbal","Venezuela","1997-03-17"
"Sir Rodney's Scones","Lisboa","Portugal","1997-03-17"
"Ikura","Lyon","France","1997-03-18"
"Côte de Blaye","Albuquerque","USA","1997-03-19"
"Perth Pasties","Albuquerque","USA","1997-03-19"
"Raclette Courdavault","Albuquerque","USA","1997-03-19"
"Wimmers gute Semmelknödel","Albuquerque","USA","1997-03-19"
"Camembert Pierrot","Rio de Janeiro","Brazil","1997-03-20"
"Maxilaku","Rio de Janeiro","Brazil","1997-03-20"
"Raclette Courdavault","Lille","France","1997-03-20"
"Zaanse koeken","Lille","France","1997-03-20"
"Boston Crab Meat","Walla Walla","USA","1997-03-21"
"Boston Crab Meat","London","UK","1997-03-24"
"Manjimup Dried Apples","London","UK","1997-03-24"
"Original Frankfurter grüne Soße","Seattle","USA","1997-03-24"
"Sasquatch Ale","Seattle","USA","1997-03-24"
"Sir Rodney's Scones","London","UK","1997-03-24"
"Aniseed Syrup","I. de Margarita","Venezuela","1997-03-25"
"Chang","I. de Margarita","Venezuela","1997-03-25"
"Outback Lager","I. de Margarita","Venezuela","1997-03-25"
"Pâté chinois","I. de Margarita","Venezuela","1997-03-25"
"Gumbär Gummibärchen","Sao Paulo","Brazil","1997-03-26"
"Longlife Tofu","San Cristóbal","Venezuela","1997-03-26"
"Manjimup Dried Apples","San Cristóbal","Venezuela","1997-03-26"
"Queso Cabrales","San Cristóbal","Venezuela","1997-03-26"
"Teatime Chocolate Biscuits","Sao Paulo","Brazil","1997-03-26"
"Tourtière","Sao Paulo","Brazil","1997-03-26"
"Raclette Courdavault","München","Germany","1997-03-27"
"Röd Kaviar","München","Germany","1997-03-27"
"Pavlova","Salzburg","Austria","1997-03-28"
"Queso Cabrales","Salzburg","Austria","1997-03-28"
"Gula Malacca","Lisboa","Portugal","1997-03-31"
"Original Frankfurter grüne Soße","Lisboa","Portugal","1997-03-31"
"Raclette Courdavault","San Cristóbal","Venezuela","1997-03-31"
"Rhönbräu Klosterbier","San Cristóbal","Venezuela","1997-03-31"
"Scottish Longbreads","San Cristóbal","Venezuela","1997-03-31"
"NuNuCa Nuß-Nougat-Creme","Tsawassen","Canada","1997-04-01"
"Singaporean Hokkien Fried Mee","Tsawassen","Canada","1997-04-01"
"Gnocchi di nonna Alice","Sao Paulo","Brazil","1997-04-02"
"Gudbrandsdalsost","Toulouse","France","1997-04-02"
"Louisiana Fiery Hot Pepper Sauce","Toulouse","France","1997-04-02"
"Louisiana Hot Spiced Okra","Toulouse","France","1997-04-02"
"Jack's New England Clam Chowder","Vancouver","Canada","1997-04-03"
"Original Frankfurter grüne Soße","Vancouver","Canada","1997-04-03"
"Tunnbröd","Vancouver","Canada","1997-04-03"
"Gnocchi di nonna Alice","Frankfurt a.M.","Germany","1997-04-04"
"Gorgonzola Telino","Sao Paulo","Brazil","1997-04-04"
"Mozzarella di Giovanni","Frankfurt a.M.","Germany","1997-04-04"
"Original Frankfurter grüne Soße","Frankfurt a.M.","Germany","1997-04-04"
"Boston Crab Meat","San Cristóbal","Venezuela","1997-04-07"
"Guaraná Fantástica","San Cristóbal","Venezuela","1997-04-07"
"Singaporean Hokkien Fried Mee","San Cristóbal","Venezuela","1997-04-07"
"Maxilaku","Barquisimeto","Venezuela","1997-04-08"
"Rössle Sauerkraut","Barquisimeto","Venezuela","1997-04-08"
"Genen Shouyu","Toulouse","France","1997-04-09"
"Rössle Sauerkraut","Toulouse","France","1997-04-09"
"Tourtière","Mannheim","Germany","1997-04-09"
"Laughing Lumberjack Lager","México D.F.","Mexico","1997-04-10"
"Perth Pasties","México D.F.","Mexico","1997-04-10"
"Rogede sild","México D.F.","Mexico","1997-04-10"
"Chang","Seattle","USA","1997-04-11"
"Louisiana Fiery Hot Pepper Sauce","Cork","Ireland","1997-04-11"
"Perth Pasties","Seattle","USA","1997-04-11"
"Sir Rodney's Scones","Seattle","USA","1997-04-11"
"Sirop d'érable","Seattle","USA","1997-04-11"
"Tofu","Cork","Ireland","1997-04-11"
"Tarte au sucre","Montréal","Canada","1997-04-14"
"Chocolade","México D.F.","Mexico","1997-04-15"
"Ipoh Coffee","México D.F.","Mexico","1997-04-15"
"NuNuCa Nuß-Nougat-Creme","Brandenburg","Germany","1997-04-15"
"Outback Lager","Brandenburg","Germany","1997-04-15"
"Chartreuse verte","Köln","Germany","1997-04-16"
"Konbu","Köln","Germany","1997-04-16"
"Rössle Sauerkraut","Mannheim","Germany","1997-04-17"
"Chef Anton's Cajun Seasoning","Marseille","France","1997-04-18"
"Northwoods Cranberry Sauce","Marseille","France","1997-04-18"
"Rhönbräu Klosterbier","Boise","USA","1997-04-18"
"Thüringer Rostbratwurst","Boise","USA","1997-04-18"
"Uncle Bob's Organic Dried Pears","Marseille","France","1997-04-18"
"Camembert Pierrot","Sao Paulo","Brazil","1997-04-21"
"Guaraná Fantástica","Sao Paulo","Brazil","1997-04-21"
"Spegesild","Sao Paulo","Brazil","1997-04-21"
"Zaanse koeken","Sao Paulo","Brazil","1997-04-21"
"Gnocchi di nonna Alice","Graz","Austria","1997-04-22"
"Louisiana Fiery Hot Pepper Sauce","Graz","Austria","1997-04-22"
"Mascarpone Fabioli","Stuttgart","Germany","1997-04-22"
"Rhönbräu Klosterbier","Graz","Austria","1997-04-22"
"Rössle Sauerkraut","Graz","Austria","1997-04-22"
"Sir Rodney's Marmalade","Graz","Austria","1997-04-22"
"Sir Rodney's Scones","Stuttgart","Germany","1997-04-22"
"Sirop d'érable","Stuttgart","Germany","1997-04-22"
"Camembert Pierrot","Cunewalde","Germany","1997-04-23"
"Geitost","Cunewalde","Germany","1997-04-23"
"Mishi Kobe Niku","Cunewalde","Germany","1997-04-23"
"Pavlova","Cunewalde","Germany","1997-04-23"
"Schoggi Schokolade","Cunewalde","Germany","1997-04-23"
"Carnarvon Tigers","Cork","Ireland","1997-04-24"
"Filo Mix","London","UK","1997-04-24"
"Jack's New England Clam Chowder","Cork","Ireland","1997-04-24"
"Outback Lager","London","UK","1997-04-24"
"Raclette Courdavault","London","UK","1997-04-24"
"Singaporean Hokkien Fried Mee","Cork","Ireland","1997-04-24"
"Côte de Blaye","México D.F.","Mexico","1997-04-25"
"Guaraná Fantástica","México D.F.","Mexico","1997-04-25"
"Gula Malacca","México D.F.","Mexico","1997-04-25"
"Camembert Pierrot","Bern","Switzerland","1997-04-28"
"Gnocchi di nonna Alice","Bern","Switzerland","1997-04-28"
"Ikura","Bern","Switzerland","1997-04-28"
"Guaraná Fantástica","Stavern","Norway","1997-04-29"
"Jack's New England Clam Chowder","Buenos Aires","Argentina","1997-04-29"
"Perth Pasties","Stavern","Norway","1997-04-29"
"Scottish Longbreads","Buenos Aires","Argentina","1997-04-29"
"Steeleye Stout","Buenos Aires","Argentina","1997-04-29"
"Boston Crab Meat","Frankfurt a.M.","Germany","1997-04-30"
"Chai","Frankfurt a.M.","Germany","1997-04-30"
"Nord-Ost Matjeshering","Frankfurt a.M.","Germany","1997-04-30"
"Northwoods Cranberry Sauce","Frankfurt a.M.","Germany","1997-04-30"
"Alice Mutton","London","UK","1997-05-01"
"Gravad lax","London","UK","1997-05-01"
"Ikura","Luleå","Sweden","1997-05-01"
"Ipoh Coffee","Luleå","Sweden","1997-05-01"
"Jack's New England Clam Chowder","London","UK","1997-05-01"
"Nord-Ost Matjeshering","Luleå","Sweden","1997-05-01"
"Sir Rodney's Marmalade","London","UK","1997-05-01"
"Tourtière","Luleå","Sweden","1997-05-01"
"Boston Crab Meat","Marseille","France","1997-05-02"
"Inlagd Sill","Marseille","France","1997-05-02"
"Chai","Oulu","Finland","1997-05-05"
"Chef Anton's Cajun Seasoning","Cunewalde","Germany","1997-05-05"
"Gnocchi di nonna Alice","Oulu","Finland","1997-05-05"
"Inlagd Sill","Cunewalde","Germany","1997-05-05"
"Konbu","Oulu","Finland","1997-05-05"
"Geitost","Eugene","USA","1997-05-06"
"Mozzarella di Giovanni","Eugene","USA","1997-05-06"
"Queso Cabrales","Eugene","USA","1997-05-06"
"Gudbrandsdalsost","Bruxelles","Belgium","1997-05-07"
"Pâté chinois","Bruxelles","Belgium","1997-05-07"
"Scottish Longbreads","Bruxelles","Belgium","1997-05-07"
"Alice Mutton","Salzburg","Austria","1997-05-08"
"Ipoh Coffee","Salzburg","Austria","1997-05-08"
"Lakkalikööri","Salzburg","Austria","1997-05-08"
"Raclette Courdavault","Buenos Aires","Argentina","1997-05-08"
"Sirop d'érable","Salzburg","Austria","1997-05-08"
"Louisiana Hot Spiced Okra","London","UK","1997-05-09"
"Nord-Ost Matjeshering","London","UK","1997-05-09"
"Boston Crab Meat","Frankfurt a.M.","Germany","1997-05-12"
"Chef Anton's Cajun Seasoning","Bräcke","Sweden","1997-05-12"
"Mozzarella di Giovanni","Bräcke","Sweden","1997-05-12"
"Nord-Ost Matjeshering","Frankfurt a.M.","Germany","1997-05-12"
"Röd Kaviar","Bräcke","Sweden","1997-05-12"
"Tourtière","Frankfurt a.M.","Germany","1997-05-12"
"Boston Crab Meat","México D.F.","Mexico","1997-05-13"
"Queso Cabrales","México D.F.","Mexico","1997-05-13"
"Raclette Courdavault","México D.F.","Mexico","1997-05-13"
"Ravioli Angelo","México D.F.","Mexico","1997-05-13"
"Camembert Pierrot","Frankfurt a.M.","Germany","1997-05-14"
"Escargots de Bourgogne","Genève","Switzerland","1997-05-14"
"Geitost","Frankfurt a.M.","Germany","1997-05-14"
"Gorgonzola Telino","Frankfurt a.M.","Germany","1997-05-14"
"Gorgonzola Telino","Genève","Switzerland","1997-05-14"
"Manjimup Dried Apples","Genève","Switzerland","1997-05-14"
"Mozzarella di Giovanni","Genève","Switzerland","1997-05-14"
"Queso Manchego La Pastora","Frankfurt a.M.","Germany","1997-05-14"
"Röd Kaviar","Genève","Switzerland","1997-05-14"
"Mozzarella di Giovanni","London","UK","1997-05-15"
"Outback Lager","London","UK","1997-05-15"
"Geitost","London","UK","1997-05-16"
"Konbu","London","UK","1997-05-16"
"Maxilaku","London","UK","1997-05-16"
"Sir Rodney's Scones","London","UK","1997-05-16"
"Aniseed Syrup","Cunewalde","Germany","1997-05-19"
"Côte de Blaye","Cunewalde","Germany","1997-05-19"
"Côte de Blaye","Rio de Janeiro","Brazil","1997-05-19"
"Flotemysost","Rio de Janeiro","Brazil","1997-05-19"
"Guaraná Fantástica","Rio de Janeiro","Brazil","1997-05-19"
"Gumbär Gummibärchen","Cunewalde","Germany","1997-05-19"
"Louisiana Fiery Hot Pepper Sauce","Rio de Janeiro","Brazil","1997-05-19"
"Scottish Longbreads","Cunewalde","Germany","1997-05-19"
"Queso Cabrales","Brandenburg","Germany","1997-05-20"
"Tourtière","Brandenburg","Germany","1997-05-20"
"Laughing Lumberjack Lager","Portland","USA","1997-05-21"
"Queso Manchego La Pastora","Barquisimeto","Venezuela","1997-05-21"
"Rössle Sauerkraut","Portland","USA","1997-05-21"
"Tunnbröd","Barquisimeto","Venezuela","1997-05-21"
"Queso Cabrales","Walla Walla","USA","1997-05-22"
"Inlagd Sill","London","UK","1997-05-23"
"Mascarpone Fabioli","London","UK","1997-05-23"
"Steeleye Stout","Lyon","France","1997-05-23"
"Tarte au sucre","Lyon","France","1997-05-23"
"Uncle Bob's Organic Dried Pears","Lyon","France","1997-05-23"
"Jack's New England Clam Chowder","Münster","Germany","1997-05-26"
"Sasquatch Ale","Münster","Germany","1997-05-26"
"Gorgonzola Telino","Cunewalde","Germany","1997-05-27"
"Manjimup Dried Apples","Cunewalde","Germany","1997-05-27"
"Rogede sild","Cunewalde","Germany","1997-05-27"
"Alice Mutton","Sevilla","Spain","1997-05-28"
"Gula Malacca","Lisboa","Portugal","1997-05-28"
"Pavlova","Lisboa","Portugal","1997-05-28"
"Sir Rodney's Scones","Sevilla","Spain","1997-05-28"
"Sirop d'érable","Sevilla","Spain","1997-05-28"
"Steeleye Stout","Lisboa","Portugal","1997-05-28"
"Teatime Chocolate Biscuits","Sevilla","Spain","1997-05-28"
"Gudbrandsdalsost","San Cristóbal","Venezuela","1997-05-29"
"Rhönbräu Klosterbier","San Cristóbal","Venezuela","1997-05-29"
"Gorgonzola Telino","Oulu","Finland","1997-05-30"
"Gustaf's Knäckebröd","Oulu","Finland","1997-05-30"
"Original Frankfurter grüne Soße","Köln","Germany","1997-05-30"
"Pavlova","Köln","Germany","1997-05-30"
"Pavlova","Oulu","Finland","1997-05-30"
"Queso Cabrales","Oulu","Finland","1997-05-30"
"Steeleye Stout","Oulu","Finland","1997-05-30"
"Tarte au sucre","Köln","Germany","1997-05-30"
"Tunnbröd","Köln","Germany","1997-05-30"
"Gnocchi di nonna Alice","Boise","USA","1997-06-02"
"Guaraná Fantástica","Boise","USA","1997-06-02"
"Manjimup Dried Apples","Boise","USA","1997-06-02"
"Teatime Chocolate Biscuits","Boise","USA","1997-06-02"
"Tofu","Boise","USA","1997-06-02"
"Mozzarella di Giovanni","Kobenhavn","Denmark","1997-06-03"
"Rhönbräu Klosterbier","Frankfurt a.M.","Germany","1997-06-03"
"Wimmers gute Semmelknödel","Frankfurt a.M.","Germany","1997-06-03"
"Filo Mix","Colchester","UK","1997-06-04"
"Manjimup Dried Apples","Colchester","UK","1997-06-04"
"Perth Pasties","Colchester","UK","1997-06-04"
"Röd Kaviar","Colchester","UK","1997-06-04"
"Zaanse koeken","Colchester","UK","1997-06-04"
"Jack's New England Clam Chowder","Strasbourg","France","1997-06-05"
"Pâté chinois","Strasbourg","France","1997-06-05"
"Gula Malacca","Bräcke","Sweden","1997-06-06"
"Manjimup Dried Apples","Bräcke","Sweden","1997-06-06"
"Nord-Ost Matjeshering","München","Germany","1997-06-06"
"Tarte au sucre","München","Germany","1997-06-06"
"Geitost","Reggio Emilia","Italy","1997-06-09"
"Tarte au sucre","Reggio Emilia","Italy","1997-06-09"
"Alice Mutton","Albuquerque","USA","1997-06-10"
"Filo Mix","Rio de Janeiro","Brazil","1997-06-10"
"Gorgonzola Telino","Albuquerque","USA","1997-06-10"
"Inlagd Sill","Rio de Janeiro","Brazil","1997-06-10"
"Pâté chinois","Albuquerque","USA","1997-06-10"
"Guaraná Fantástica","Montréal","Canada","1997-06-11"
"Wimmers gute Semmelknödel","Montréal","Canada","1997-06-11"
"Carnarvon Tigers","Strasbourg","France","1997-06-12"
"Gorgonzola Telino","Cork","Ireland","1997-06-12"
"Lakkalikööri","Strasbourg","France","1997-06-12"
"Manjimup Dried Apples","Cork","Ireland","1997-06-12"
"Queso Cabrales","Strasbourg","France","1997-06-12"
"Raclette Courdavault","Cork","Ireland","1997-06-12"
"Ikura","Barcelona","Spain","1997-06-13"
"Gorgonzola Telino","Albuquerque","USA","1997-06-16"
"Lakkalikööri","Albuquerque","USA","1997-06-16"
"Gnocchi di nonna Alice","Montréal","Canada","1997-06-17"
"Queso Cabrales","Montréal","Canada","1997-06-17"
"Singaporean Hokkien Fried Mee","Graz","Austria","1997-06-17"
"Tofu","Graz","Austria","1997-06-17"
"Boston Crab Meat","Luleå","Sweden","1997-06-18"
"Mascarpone Fabioli","Luleå","Sweden","1997-06-18"
"Pavlova","Luleå","Sweden","1997-06-18"
"Rhönbräu Klosterbier","Luleå","Sweden","1997-06-18"
"Alice Mutton","México D.F.","Mexico","1997-06-19"
"Boston Crab Meat","Kirkland","USA","1997-06-19"
"Geitost","Kirkland","USA","1997-06-19"
"Perth Pasties","México D.F.","Mexico","1997-06-19"
"Sasquatch Ale","México D.F.","Mexico","1997-06-19"
"Tarte au sucre","Kirkland","USA","1997-06-19"
"Wimmers gute Semmelknödel","Kirkland","USA","1997-06-19"
"Lakkalikööri","Leipzig","Germany","1997-06-20"
"Mozzarella di Giovanni","Leipzig","Germany","1997-06-20"
"Raclette Courdavault","Leipzig","Germany","1997-06-20"
"Vegie-spread","Leipzig","Germany","1997-06-20"
"Chai","México D.F.","Mexico","1997-06-23"
"Chartreuse verte","Kirkland","USA","1997-06-23"
"Gorgonzola Telino","México D.F.","Mexico","1997-06-23"
"Gula Malacca","México D.F.","Mexico","1997-06-23"
"Original Frankfurter grüne Soße","Kirkland","USA","1997-06-23"
"Rhönbräu Klosterbier","Kirkland","USA","1997-06-23"
"Ravioli Angelo","London","UK","1997-06-24"
"Steeleye Stout","London","UK","1997-06-24"
"Genen Shouyu","San Francisco","USA","1997-06-25"
"Rhönbräu Klosterbier","San Francisco","USA","1997-06-25"
"Jack's New England Clam Chowder","Köln","Germany","1997-06-26"
"Louisiana Fiery Hot Pepper Sauce","Köln","Germany","1997-06-26"
"Rhönbräu Klosterbier","Sao Paulo","Brazil","1997-06-26"
"Tofu","Köln","Germany","1997-06-26"
"Lakkalikööri","Mannheim","Germany","1997-06-27"
"Ravioli Angelo","Mannheim","Germany","1997-06-27"
"Camembert Pierrot","Oulu","Finland","1997-06-30"
"Gorgonzola Telino","Strasbourg","France","1997-06-30"
"Gudbrandsdalsost","Oulu","Finland","1997-06-30"
"Thüringer Rostbratwurst","Oulu","Finland","1997-06-30"
"Zaanse koeken","Resende","Brazil","1997-07-01"
"Filo Mix","Reggio Emilia","Italy","1997-07-02"
"Gumbär Gummibärchen","Rio de Janeiro","Brazil","1997-07-02"
"Original Frankfurter grüne Soße","Rio de Janeiro","Brazil","1997-07-02"
"Steeleye Stout","Rio de Janeiro","Brazil","1997-07-02"
"Carnarvon Tigers","Cunewalde","Germany","1997-07-03"
"Singaporean Hokkien Fried Mee","Cunewalde","Germany","1997-07-03"
"Steeleye Stout","Eugene","USA","1997-07-04"
"Aniseed Syrup","Århus","Denmark","1997-07-07"
"Chai","Montréal","Canada","1997-07-07"
"Original Frankfurter grüne Soße","Montréal","Canada","1997-07-07"
"Tourtière","Århus","Denmark","1997-07-07"
"Uncle Bob's Organic Dried Pears","Århus","Denmark","1997-07-07"
"Genen Shouyu","Frankfurt a.M.","Germany","1997-07-08"
"Gumbär Gummibärchen","Frankfurt a.M.","Germany","1997-07-08"
"Escargots de Bourgogne","Anchorage","USA","1997-07-09"
"Filo Mix","Anchorage","USA","1997-07-09"
"Gudbrandsdalsost","Frankfurt a.M.","Germany","1997-07-09"
"Lakkalikööri","Frankfurt a.M.","Germany","1997-07-09"
"Sir Rodney's Marmalade","Frankfurt a.M.","Germany","1997-07-09"
"Gudbrandsdalsost","Graz","Austria","1997-07-10"
"Sirop d'érable","Graz","Austria","1997-07-10"
"Steeleye Stout","Graz","Austria","1997-07-10"
"Gnocchi di nonna Alice","Seattle","USA","1997-07-11"
"Guaraná Fantástica","Salzburg","Austria","1997-07-11"
"Louisiana Fiery Hot Pepper Sauce","Salzburg","Austria","1997-07-11"
"Ravioli Angelo","Salzburg","Austria","1997-07-11"
"Rhönbräu Klosterbier","Seattle","USA","1997-07-11"
"Vegie-spread","Seattle","USA","1997-07-11"
"Flotemysost","Albuquerque","USA","1997-07-14"
"Schoggi Schokolade","Albuquerque","USA","1997-07-14"
"Tarte au sucre","London","UK","1997-07-15"
"Konbu","San Cristóbal","Venezuela","1997-07-16"
"Raclette Courdavault","San Cristóbal","Venezuela","1997-07-16"
"Röd Kaviar","Elgin","USA","1997-07-16"
"Tourtière","Elgin","USA","1997-07-16"
"Original Frankfurter grüne Soße","Århus","Denmark","1997-07-17"
"Chocolade","Lisboa","Portugal","1997-07-18"
"Gustaf's Knäckebröd","Boise","USA","1997-07-18"
"Lakkalikööri","Lisboa","Portugal","1997-07-18"
"Maxilaku","Boise","USA","1997-07-18"
"Camembert Pierrot","Montréal","Canada","1997-07-21"
"Flotemysost","Montréal","Canada","1997-07-21"
"Pavlova","Montréal","Canada","1997-07-21"
"Raclette Courdavault","Montréal","Canada","1997-07-21"
"Alice Mutton","Boise","USA","1997-07-22"
"Boston Crab Meat","Boise","USA","1997-07-22"
"Chef Anton's Cajun Seasoning","Sao Paulo","Brazil","1997-07-22"
"Geitost","Boise","USA","1997-07-22"
"Mozzarella di Giovanni","Boise","USA","1997-07-22"
"Pâté chinois","Sao Paulo","Brazil","1997-07-22"
"Tarte au sucre","Sao Paulo","Brazil","1997-07-22"
"Uncle Bob's Organic Dried Pears","Boise","USA","1997-07-22"
"Gnocchi di nonna Alice","Münster","Germany","1997-07-23"
"Chai","Nantes","France","1997-07-24"
"Ikura","Nantes","France","1997-07-24"
